,,,,,,,,,,-89.74964904785156,89.1871337890625,-17.916641235351562,17.825790405273438
-1,4,-1,7,-11,11,,,-7,22,-19.702072143554688,27.051681518554688,-4.3782501220703125,-16.50433349609375
-3,8,-6,2,-14,39,,,-29,50,-24.09796142578125,19.30645751953125,-5.3550872802734375,0.312469482421875
-5,-6,4,-36,-13,-3,,,-22,2,-21.688323974609375,14.458877563476562,-4.8196258544921875,28.304031372070312
-4.0,-6.0,1.0,-43.0,-8.0,-8.0,14.0,-23.0,-11.0,-6.0,-11.536834716796875,7.6912384033203125,-2.563751220703125,24.51239013671875
-3.0,-1.0,-2.0,-11.0,-7.0,0.0,25.0,-18.0,-5.0,-5.0,5.82940673828125,-2.1534576416015625,-5.1921539306640625,2.973541259765625
1.0,1.0,-4.0,20.0,-1.0,-1.0,-1.0,1.0,-5.0,-4.0,31.536483764648438,-15.87396240234375,-20.427413940429688,-1.5005645751953125
9.0,6.0,0.0,31.0,7.0,-3.0,-11.0,28.0,-1.0,-11.0,31.878158569335938,-26.995941162109375,-14.632476806640625,-3.389312744140625
7.0,4.0,0.0,18.0,12.0,-6.0,-11.0,19.0,3.0,-10.0,11.6171875,-23.12078857421875,18.755905151367188,-4.2912445068359375
12,-10,5,-4,,,-6,-1,25,-31,6.1029510498046875,-15.633453369140625,28.452117919921875,-5.0738983154296875
5,-10,1,-6,,,-4,-6,32,-36,1.6791229248046875,-5.1999969482421875,12.742523193359375,-6.3430023193359375
4.0,-3.0,3.0,-1.0,-11.0,-3.0,-4.0,-2.0,11.0,-12.0,-7.4762725830078125,13.5928955078125,-1.661376953125,-13.750289916992188
2.0,2.0,3.0,3.0,6.0,10.0,1.0,0.0,1.0,3.0,-16.578048706054688,25.07977294921875,-3.6840057373046875,-17.143203735351562
0,9,6,8,2,27,,,0,20,-24.112869262695312,23.320831298828125,-5.3584136962890625,-7.862754821777344
0,9,-3,4,-4,51,,,-25,55,-21.122268676757812,14.081527709960938,-4.6938629150390625,18.94786834716797
1.0,-5.0,3.0,-22.0,-13.0,-14.0,7.0,-6.0,-12.0,1.0,-15.60089111328125,10.40057373046875,-3.4668426513671875,28.673980712890625
0.0,-8.0,10.0,-25.0,-5.0,-6.0,12.0,-14.0,-6.0,0.0,-4.4539642333984375,3.1184539794921875,-1.5132598876953125,11.954742431640625
-2.0,-5.0,6.0,-43.0,-3.0,-7.0,23.0,-28.0,-7.0,-4.0,18.500991821289062,-8.287139892578125,-12.544692993164062,-0.7050323486328125
-2,8,,,2,7,24,2,-6,1,34.39208984375,-19.977066040039062,-20.818931579589844,-2.0921173095703125
0,14,,,7,4,-33,60,-2,-2,20.61566162109375,-23.746963500976562,-4.301856994628906,-3.3202362060546875
5.0,-10.0,10.0,-6.0,12.0,-60.0,-9.0,-3.0,29.0,-34.0,10.758407592773438,-23.277130126953125,27.31903076171875,-4.99169921875
2.0,-4.0,5.0,1.0,14.0,-3.0,-2.0,-8.0,42.0,-20.0,4.46441650390625,-12.261093139648438,25.212783813476562,-5.3013763427734375
0,1,-3,6,2,18,,,3,2,-0.6241455078125,0.3416595458984375,5.2365875244140625,-7.91888427734375
-3,5,-7,9,-5,29,,,-13,29,-12.186737060546875,20.953048706054688,-2.7081756591796875,-17.5511474609375
-5,5,-5,0,-21,29,,,-28,39,-21.324676513671875,27.846206665039062,-4.7388153076171875,-16.010093688964844
